Class,Accuracy
Apple___Apple_scab,100.0
Apple___Black_rot,100.0
Apple___Cedar_apple_rust,100.0
Apple___healthy,99.39393939393939
Blueberry___healthy,100.0
Cherry_(including_sour)___Powdery_mildew,98.11320754716981
Cherry_(including_sour)___healthy,98.85057471264368
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,84.61538461538461
Corn_(maize)___Common_rust_,99.16666666666667
Corn_(maize)___Northern_Leaf_Blight,88.88888888888889
Corn_(maize)___healthy,100.0
Grape___Black_rot,100.0
Grape___Esca_(Black_Measles),99.28057553956835
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),100.0
Grape___healthy,100.0
Orange___Haunglongbing_(Citrus_greening),100.0
Peach___Bacterial_spot,99.56709956709958
Peach___healthy,100.0
"Pepper,_bell___Bacterial_spot",99.00990099009901
"Pepper,_bell___healthy",100.0
Potato___Early_blight,100.0
Potato___Late_blight,97.0
Potato___healthy,93.75
Raspberry___healthy,100.0
Soybean___healthy,100.0
Squash___Powdery_mildew,100.0
Strawberry___Leaf_scorch,100.0
Strawberry___healthy,100.0
Tomato___Bacterial_spot,98.5981308411215
Tomato___Early_blight,82.0
Tomato___Late_blight,98.95833333333334
Tomato___Leaf_Mold,94.79166666666666
Tomato___Septoria_leaf_spot,97.19101123595506
Tomato___Spider_mites Two-spotted_spider_mite,85.11904761904762
Tomato___Target_Spot,96.47887323943662
Tomato___Tomato_Yellow_Leaf_Curl_Virus,99.25512104283054
Tomato___Tomato_mosaic_virus,100.0
Tomato___healthy,99.375
